Unnamed: 0,Salari brut anual mitjà,Menys de 25 anys,De 25 a 34 anys,De 35 a 44 anys,De 45 a 54 anys,De 55 anys i més
2021,"28.145,02","13.218,66","23.026,10","28.220,68","30.941,02","30.995,02"
2020,"27.100,11","13.393,50","22.338,55","27.340,77","29.854,86","29.732,31"
2019,"25.968,20","13.070,69","21.656,58","26.755,81","28.446,07","28.824,02"
2018,"25.552,84","13.020,99","21.621,47","26.803,12","27.552,72","27.918,39"
2017,"25.180,45","11.183,93","20.295,36","26.048,05","27.398,90","27.591,41"
2016,"24.454,64","10.809,83","19.522,21","25.255,98","26.701,36","26.933,50"
2015,"24.321,57","11.051,99","19.901,30","24.779,02","26.887,21","26.939,09"
2014,"23.927,17","11.835,17","20.051,79","24.819,40","26.715,54","26.870,15"
2013,"24.253,73","10.471,48","19.250,22","25.273,28","26.907,69","26.709,89"
2012,"24.436,39","11.339,79","20.235,80","25.676,02","26.838,01","26.893,49"
2011,"24.499,32","12.278,77","20.975,62","25.756,86","27.257,05","27.508,98"
2010,"24.449,19","14.118,39","21.346,22","25.791,59","27.296,17","28.474,61"
2009,"23.851,31","12.754,90","21.321,57","24.863,31","26.366,02","26.812,30"
2008,"23.375,54 (b) Ruptura en la sèrie temporal","13.371,85 (b) Ruptura en la sèrie temporal","20.770,00 (b) Ruptura en la sèrie temporal","24.625,89 (b) Ruptura en la sèrie temporal","26.764,15 (b) Ruptura en la sèrie temporal","26.548,21 (b) Ruptura en la sèrie temporal"
2007,"21.998,10","12.629,09","19.387,45","23.421,30","25.406,46","24.830,64"
2006,"21.210,04","12.808,60","18.754,80","22.948,24","24.539,40","25.233,53"
2005,"20.067,13","12.951,16","17.929,95","22.002,69","24.640,30","27.349,70"
2004,"19.750,11","12.614,96","18.052,58","22.293,37","24.170,28","22.833,15"
Unitats: Euros.,Unitats: Euros.,Unitats: Euros.,Unitats: Euros.,Unitats: Euros.,Unitats: Euros.,Unitats: Euros.
Font:,Font:,Font:,Font:,Font:,Font:,Font:
2004-2005: INE. Enquesta anual d'estructura salarial.,2004-2005: INE. Enquesta anual d'estructura salarial.,2004-2005: INE. Enquesta anual d'estructura salarial.,2004-2005: INE. Enquesta anual d'estructura salarial.,2004-2005: INE. Enquesta anual d'estructura salarial.,2004-2005: INE. Enquesta anual d'estructura salarial.,2004-2005: INE. Enquesta anual d'estructura salarial.
"2006: Idescat, a partir de dades de l'Enquesta d'estructura salarial de l'INE.","2006: Idescat, a partir de dades de l'Enquesta d'estructura salarial de l'INE.","2006: Idescat, a partir de dades de l'Enquesta d'estructura salarial de l'INE.","2006: Idescat, a partir de dades de l'Enquesta d'estructura salarial de l'INE.","2006: Idescat, a partir de dades de l'Enquesta d'estructura salarial de l'INE.","2006: Idescat, a partir de dades de l'Enquesta d'estructura salarial de l'INE.","2006: Idescat, a partir de dades de l'Enquesta d'estructura salarial de l'INE."
2007-2009: INE. Enquesta anual d'estructura salarial.,2007-2009: INE. Enquesta anual d'estructura salarial.,2007-2009: INE. Enquesta anual d'estructura salarial.,2007-2009: INE. Enquesta anual d'estructura salarial.,2007-2009: INE. Enquesta anual d'estructura salarial.,2007-2009: INE. Enquesta anual d'estructura salarial.,2007-2009: INE. Enquesta anual d'estructura salarial.
"2010: Idescat, a partir de dades de l'Enquesta d'estructura salarial de l'INE.","2010: Idescat, a partir de dades de l'Enquesta d'estructura salarial de l'INE.","2010: Idescat, a partir de dades de l'Enquesta d'estructura salarial de l'INE.","2010: Idescat, a partir de dades de l'Enquesta d'estructura salarial de l'INE.","2010: Idescat, a partir de dades de l'Enquesta d'estructura salarial de l'INE.","2010: Idescat, a partir de dades de l'Enquesta d'estructura salarial de l'INE.","2010: Idescat, a partir de dades de l'Enquesta d'estructura salarial de l'INE."
2011-2013: INE. Enquesta anual d'estructura salarial.,2011-2013: INE. Enquesta anual d'estructura salarial.,2011-2013: INE. Enquesta anual d'estructura salarial.,2011-2013: INE. Enquesta anual d'estructura salarial.,2011-2013: INE. Enquesta anual d'estructura salarial.,2011-2013: INE. Enquesta anual d'estructura salarial.,2011-2013: INE. Enquesta anual d'estructura salarial.
"2014: Idescat, a partir de dades de l'Enquesta d'estructura salarial de l'INE.","2014: Idescat, a partir de dades de l'Enquesta d'estructura salarial de l'INE.","2014: Idescat, a partir de dades de l'Enquesta d'estructura salarial de l'INE.","2014: Idescat, a partir de dades de l'Enquesta d'estructura salarial de l'INE.","2014: Idescat, a partir de dades de l'Enquesta d'estructura salarial de l'INE.","2014: Idescat, a partir de dades de l'Enquesta d'estructura salarial de l'INE.","2014: Idescat, a partir de dades de l'Enquesta d'estructura salarial de l'INE."
2015-2017: INE. Enquesta anual d'estructura salarial.,2015-2017: INE. Enquesta anual d'estructura salarial.,2015-2017: INE. Enquesta anual d'estructura salarial.,2015-2017: INE. Enquesta anual d'estructura salarial.,2015-2017: INE. Enquesta anual d'estructura salarial.,2015-2017: INE. Enquesta anual d'estructura salarial.,2015-2017: INE. Enquesta anual d'estructura salarial.
"2018-2021: Idescat, a partir de dades de l'Enquesta d'estructura salarial de l'INE.","2018-2021: Idescat, a partir de dades de l'Enquesta d'estructura salarial de l'INE.","2018-2021: Idescat, a partir de dades de l'Enquesta d'estructura salarial de l'INE.","2018-2021: Idescat, a partir de dades de l'Enquesta d'estructura salarial de l'INE.","2018-2021: Idescat, a partir de dades de l'Enquesta d'estructura salarial de l'INE.","2018-2021: Idescat, a partir de dades de l'Enquesta d'estructura salarial de l'INE.","2018-2021: Idescat, a partir de dades de l'Enquesta d'estructura salarial de l'INE."
(b) Ruptura en la sèrie temporal.,(b) Ruptura en la sèrie temporal.,(b) Ruptura en la sèrie temporal.,(b) Ruptura en la sèrie temporal.,(b) Ruptura en la sèrie temporal.,(b) Ruptura en la sèrie temporal.,(b) Ruptura en la sèrie temporal.
